cycle_id,cycle_start,cycle_end,total_usage_kwh,total_actual_cash,expected_revenue,variance_pct,canonical_input_string,seal_hash
254,2020-02-23 00:00:00,2020-02-24 00:00:00,41.0,40400.0,41385.0,985.0,NABIWI|2020-02-23 00:00:00|2020-02-24 00:00:00|41.0|40400.0|41385.0|,12ff046659f6253c90483e786ed1ba17d442f60b8f474f35f2863631a91fa00c
123,2020-10-08 00:00:00,2020-10-09 00:00:00,56.0,70000.0,71250.0,1250.0,NABIWI|2020-10-08 00:00:00|2020-10-09 00:00:00|56.0|70000.0|71250.0|,bec0f1f1390c39d490aa5541c3fa3e4829d1bce9f99c5be082c295ef48a7718b
707,2023-07-10 00:00:00,2023-07-11 00:00:00,20.0,9000.0,9450.0,450.0,NABIWI|2023-07-10 00:00:00|2023-07-11 00:00:00|20.0|9000.0|9450.0|,56f5c808386826e987e2c06fd06a319233dbb2a12ef2d95cdd6a7394f1d50ee5
706,2023-07-11 00:00:00,2023-07-12 00:00:00,14.0,6300.0,6750.0,450.0,NABIWI|2023-07-11 00:00:00|2023-07-12 00:00:00|14.0|6300.0|6750.0|,37fe269ce1102518a2e1d53d014ec068866c82df67114302f26dcb00ba819cad
705,2023-07-12 00:00:00,2023-07-13 00:00:00,17.0,7650.0,8100.0,450.0,NABIWI|2023-07-12 00:00:00|2023-07-13 00:00:00|17.0|7650.0|8100.0|,365b43daeb9533c91312198f94fddbbca94e54e7853addda23bba2847f940d50
704,2023-07-13 00:00:00,2023-07-14 00:00:00,17.0,7650.0,8100.0,450.0,NABIWI|2023-07-13 00:00:00|2023-07-14 00:00:00|17.0|7650.0|8100.0|,c70b6be9bd14dee798acb4c6796e601c4a7b5da2ad46a49c2acc0e855fb3cee6
703,2023-07-14 00:00:00,2023-07-15 00:00:00,14.0,6300.0,6750.0,450.0,NABIWI|2023-07-14 00:00:00|2023-07-15 00:00:00|14.0|6300.0|6750.0|,af96649fa053d1328753874ed0bc568dd9de91252ee4a46177c26f3221d5050f
702,2023-07-15 00:00:00,2023-07-16 00:00:00,13.0,5850.0,6300.0,450.0,NABIWI|2023-07-15 00:00:00|2023-07-16 00:00:00|13.0|5850.0|6300.0|,82c09ae9f6b53114445d7a9a767fefdd62aa9dc6274e0653c160ba9765c28be9
701,2023-07-17 00:00:00,2023-07-18 00:00:00,30.0,13500.0,13950.0,450.0,NABIWI|2023-07-17 00:00:00|2023-07-18 00:00:00|30.0|13500.0|13950.0|,fa6ba66ba48c5f68c20859ccd4216e1514a4e3f8487e8537fa1c8b25126affbe
700,2023-07-18 00:00:00,2023-07-19 00:00:00,19.0,8550.0,9000.0,450.0,NABIWI|2023-07-18 00:00:00|2023-07-19 00:00:00|19.0|8550.0|9000.0|,8926076775f53ae3e75dde2cdb004684e032310a014ff3ca31363c8583c712c5
